"FACILITY_ID","Date","EncounterCount","WeekDayName","IsHoliday","MonthName"
"2","2017-08-25","76","Friday","False","August"
"2","2017-08-26","70","Saturday","False","August"
"2","2017-08-27","63","Sunday","False","August"
"2","2017-08-28","67","Monday","False","August"
"2","2017-08-29","77","Tuesday","False","August"
"2","2017-08-30","74","Wednesday","False","August"
"2","2017-08-31","69","Thursday","False","August"
"2","2017-09-01","62","Friday","False","September"
"2","2017-09-02","69","Saturday","False","September"
"2","2017-09-03","61","Sunday","False","September"
"2","2017-09-04","64","Monday","True","September"
"2","2017-09-05","73","Tuesday","False","September"
"2","2017-09-06","77","Wednesday","False","September"
"2","2017-09-07","84","Thursday","False","September"
"2","2017-09-08","68","Friday","False","September"
"2","2017-09-09","71","Saturday","False","September"
"2","2017-09-10","76","Sunday","False","September"
"2","2017-09-11","89","Monday","False","September"
"2","2017-09-12","104","Tuesday","False","September"
"2","2017-09-13","101","Wednesday","False","September"
"2","2017-09-14","98","Thursday","False","September"
"2","2017-09-15","89","Friday","False","September"
"2","2017-09-16","73","Saturday","False","September"
"2","2017-09-17","66","Sunday","False","September"
"2","2017-09-18","66","Monday","False","September"
"2","2017-09-19","64","Tuesday","False","September"
"2","2017-09-20","70","Wednesday","False","September"
"2","2017-09-21","74","Thursday","False","September"
"2","2017-09-22","67","Friday","False","September"
"2","2017-09-23","65","Saturday","False","September"
"2","2017-09-24","68","Sunday","False","September"
"2","2017-09-25","69","Monday","False","September"
"2","2017-09-26","70","Tuesday","False","September"
"2","2017-09-27","60","Wednesday","False","September"
"2","2017-09-28","57","Thursday","False","September"
"2","2017-09-29","65","Friday","False","September"
"2","2017-09-30","64","Saturday","False","September"
"2","2017-10-01","62","Sunday","False","October"
"2","2017-10-02","62","Monday","False","October"
"2","2017-10-03","67","Tuesday","False","October"
"2","2017-10-04","63","Wednesday","False","October"
"2","2017-10-05","58","Thursday","False","October"
"2","2017-10-06","59","Friday","False","October"
"2","2017-10-07","49","Saturday","False","October"
"2","2017-10-08","47","Sunday","False","October"
"2","2017-10-09","61","Monday","True","October"
"2","2017-10-10","69","Tuesday","False","October"
"2","2017-10-11","71","Wednesday","False","October"
"2","2017-10-12","72","Thursday","False","October"
